Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C14,100nF,C0201,143.970248mm,-112.14608mm,180.0,bottom
C34,100nF,C0201,140.427944mm,-109.869392mm,-90.0,bottom
C36,100nF,C0201,146.819112mm,-108.98435mm,90.0,bottom
C42,2.2uF,C0201,140.647624mm,-111.928656mm,180.0,bottom
C48,100nF,C0201,145.37816mm,-110.093568mm,0.0,bottom
C52,100nF,C0201,150.194264mm,-106.731816mm,0.0,bottom
D3,SDM20U40-7,SOD-523,141.866112mm,-113.086896mm,-90.0,bottom
D4,SDM20U40-7,SOD-523,139.8mm,-108.78mm,0.0,bottom
Q7,CJE3139K,SOT-523,139.723368mm,-104.265984mm,0.0,bottom
R4,10K,R0201,150.32228mm,-109.715808mm,180.0,bottom
R5,10K,R0201,150.326344mm,-110.269528mm,180.0,bottom
R6,10K,R0201,150.15mm,-105.9mm,180.0,bottom
R9,1MR,R0201,138.066984mm,-111.919512mm,180.0,bottom
R10,499K,R0201,138.064648mm,-111.346488mm,0.0,bottom
R11,10K,R0201,139.86mm,-109.87mm,90.0,bottom
R24,330R,R0201,140.480352mm,-113.949416mm,0.0,bottom
R26,10K,R0201,141.134592mm,-102.182168mm,0.0,bottom
R27,10K,R0201,150.65mm,-105.0mm,90.0,bottom
R28,NCP15XH103F03RC,R0402,141.972792mm,-109.406724mm,90.0,bottom
U5,LSM6DS3TR-C,LGA14-0.5-2.5X3X0.86MM,148.453856mm,-109.717902mm,90.0,bottom
U7,4Gbit SD Nand,LGA8_1d27_8x6x0_85mm,145.962999mm,-103.244904mm,165.0,bottom
U9,74LVC1G00XC5G/TR,SC70-5,140.237552mm,-106.72064mm,0.0,bottom
U12,P25Q16SH-UXH-IR,USON8-0.5-3X2MM,144.395952mm,-108.5088mm,0.0,bottom
U14,GLF73910-BD01,SMD-WLCSP-4,140.516928mm,-113.06956mm,180.0,bottom
C1,1uF,C0201,149.602332mm,-112.547088mm,0.0,top
C2,1uF,C0201,149.218904mm,-115.040664mm,0.0,top
C3,1uF,C0201,149.565756mm,-111.256768mm,0.0,top
C4,100nF,C0201,149.603264mm,-111.804833mm,0.0,top
C5,1uF,C0201,151.20558mm,-113.495016mm,-90.0,top
C6,2.2nF,C0201,148.10568mm,-109.876465mm,90.0,top
C7,1uF,C0201,149.42648mm,-113.464265mm,-90.0,top
C8,100nF,C0201,144.17mm,-114.85mm,-90.0,top
C9,100nF,C0201,149.561692mm,-110.606528mm,0.0,top
C10,100nF,C0201,146.86726mm,-109.868912mm,90.0,top
C11,100nF,C0201,144.18mm,-113.88mm,90.0,top
C12,0.7pF,C0201,147.638404mm,-109.139424mm,0.0,top
C13,1uF,C0201,144.255744mm,-110.442552mm,-90.0,top
C15,0.7pF,C0201,147.625mm,-107.6mm,0.0,top
C16,100nF,C0201,143.030252mm,-106.315mm,-90.0,top
C17,4.7uF,C0201,143.569748mm,-106.315mm,-90.0,top
C18,2.2uF,C0201,149.575mm,-104.1mm,0.0,top
C19,470nF,C0201,143.575mm,-105.525mm,0.0,top
C20,1uF,C0201,146.8mm,-101.0mm,-90.0,top
C21,22nF,C0201,143.579088mm,-104.792272mm,180.0,top
C22,1uF,C0201,143.587216mm,-103.693976mm,180.0,top
C23,2.2uF,C0201,143.592296mm,-103.058976mm,180.0,top
C24,10nF,C0201,146.1mm,-100.969064mm,90.0,top
C25,2.2uF,C0201,148.0mm,-100.975mm,90.0,top
C26,100nF,C0201,149.8mm,-104.88mm,90.0,top
C27,2.2uF,C0201,147.4mm,-100.975mm,90.0,top
C28,4.7uF,C0201,142.360064mm,-105.115584mm,180.0,top
C29,1uF,C0201,142.375mm,-105.65mm,180.0,top
C30,220nF,C0201,143.583152mm,-104.254808mm,180.0,top
C31,4.7uF,C0201,145.3mm,-100.7mm,0.0,top
C32,4.7uF,C0201,143.588232mm,-102.532688mm,180.0,top
C33,470nF,C0201,145.3mm,-101.253664mm,0.0,top
C35,100nF,C0201,139.376912mm,-108.586016mm,90.0,top
C37,2.2uF,C0201,138.822912mm,-102.23156mm,-90.0,top
C38,2.2uF,C0201,140.414984mm,-102.178728mm,-90.0,top
C39,100nF,C0201,139.361672mm,-107.60456mm,-90.0,top
C40,100nF,C0201,139.358624mm,-106.636312mm,90.0,top
C41,2.2uF,C0201,143.513048mm,-110.74908mm,180.0,top
C43,1uF,C0201,140.804392mm,-107.292648mm,180.0,top
C44,2.2uF,C0201,148.775096mm,-103.239432mm,90.0,top
C45,100pF,C0201,148.375mm,-108.175mm,-90.0,top
C46,4.7uF,C0402,140.869984mm,-111.991196mm,180.0,top
C47,10uF,C0402,139.444984mm,-111.441196mm,-90.0,top
C49,0.7pF,C0201,150.658mm,-103.925mm,180.0,top
C50,0.7pF,C0201,151.100536mm,-105.429304mm,0.0,top
C51,100nF,C0201,142.089632mm,-100.334064mm,90.0,top
C53,1uF,C0201,140.972032mm,-104.530144mm,0.0,top
C54,100nF,C0201,140.696696mm,-105.842816mm,-90.0,top
D1,SDM20U40-7,SOD-523,141.872208mm,-99.086416mm,180.0,top
D2,RGB,SMD-LED-RGB-0.7X0.7X0.5MM,146.2242mm,-107.575mm,-90.0,top
D7,RGB,SMD-LED-RGB-0.7X0.7X0.5MM,143.375mm,-107.575mm,-90.0,top
J1,GT-B0353FSV06-06B0201,BTB6_0d35_3_16x1_5x0_6mm,142.80896mm,-112.937544mm,-110.0,top
K2,TS-1001S,SW4-SMD-2.8-2.6X1.6X0.53MM,144.780155mm,-107.571157mm,90.0,top
L1,10uH,L0603,150.708756mm,-111.611352mm,-90.0,top
L2,10uH,L0603,150.313532mm,-114.194465mm,-90.0,top
L3,2.2nH,L0201,147.401676mm,-109.873992mm,90.0,top
L4,2.2nH,L0201,147.4mm,-108.375mm,90.0,top
L5,3.3uH,L0603,142.988792mm,-101.59492mm,0.0,top
L6,1uH,L0603,140.744984mm,-109.866196mm,180.0,top
MIC1,T5838,MIC7P_0d8_3_5x2_65x0_98mm,137.1784mm,-107.57mm,0.0,top
MIC2,T5838,MIC7P_0d8_3_5x2_65x0_98mm,152.3891mm,-107.57mm,180.0,top
PP1,CA02-PG07,POGOPIN-1.4MM-ROUND,150.875mm,-101.25mm,135.0,top
PP2,CA02-PG07,POGOPIN-1.4MM-ROUND,143.84995mm,-98.825mm,-173.0,top
PP3,CA02-PG07,POGOPIN-1.4MM-ROUND,147.05mm,-116.049952mm,106.0,top
PP4,CA02-PG07,POGOPIN-1.4MM-ROUND,136.525mm,-110.575051mm,-70.0,top
PP5,CA02-PG07,POGOPIN-1.4MM-ROUND,139.599949mm,-100.474949mm,-144.0,top
PP6,CA02-PG07,POGOPIN-1.4MM-ROUND,152.672288mm,-111.417608mm,0.0,top
Q1,LN237N3T5G,PMOS_1.0X0.6X0.35MM,140.53051mm,-99.18192mm,0.0,top
Q2,LN237N3T5G,PMOS_1.0X0.6X0.35MM,137.935552mm,-109.675645mm,0.0,top
R1,2.2K,R0201,145.85mm,-109.85mm,-90.0,top
R2,10K,R0201,145.3mm,-109.85mm,-90.0,top
R3,2.2K,R0201,142.1mm,-106.75mm,180.0,top
R7,100K,R0201,138.680155mm,-110.751157mm,90.0,top
R8,1K,R0201,142.495016mm,-110.739936mm,0.0,top
R12,10K,R0201,144.40916mm,-109.629448mm,0.0,top
R13,100K,R0201,148.999448mm,-105.167176mm,0.0,top
R14,100K,R0201,149.02688mm,-102.492048mm,180.0,top
R15,100K,R0201,149.019768mm,-101.939344mm,180.0,top
R16,100K,R0201,149.019768mm,-101.367336mm,180.0,top
R17,100K,R0201,142.340584mm,-104.560624mm,0.0,top
R18,249K,R0201,141.619984mm,-111.016196mm,-90.0,top
R19,2.2K,R0201,141.205155mm,-101.396157mm,180.0,top
R20,249K,R0201,138.640155mm,-109.761157mm,-90.0,top
R21,10R,R0603,143.598392mm,-100.31476mm,180.0,top
R23,100K,R0201,148.9964mm,-104.635808mm,180.0,top
R25,0R,R0201,150.875mm,-104.675mm,-90.0,top
R29,1K,R0201,137.922155mm,-111.127157mm,0.0,top
R30,100K,R0201,137.92056mm,-110.541157mm,180.0,top
R31,2.2K,R0201,141.790928mm,-108.40856mm,180.0,top
R32,10K,R0201,142.1mm,-107.85mm,180.0,top
R33,2.2K,R0201,142.1mm,-107.3mm,180.0,top
R34,0R,R0201,138.5mm,-101.3mm,180.0,top
R35,0R,R0201,148.450504mm,-116.792248mm,0.0,top
R36,0R,R0201,142.47mm,-98.23mm,180.0,top
R37,0R,R0201,149.140672mm,-107.991656mm,0.0,top
R38,10K,R0201,143.081056mm,-109.044248mm,0.0,top
R39,10K,R0201,143.073832mm,-108.505752mm,180.0,top
R40,10K,R0201,140.973048mm,-103.996744mm,180.0,top
R41,5.1K,R0201,140.97508mm,-103.434896mm,0.0,top
R42,200K,R0201,140.976096mm,-105.06964mm,0.0,top
R43,200K,R0201,140.803376mm,-106.754168mm,0.0,top
R44,200K,R0201,141.79164mm,-108.972096mm,180.0,top
R45,0R,R0201,149.140672mm,-108.528104mm,0.0,top
R46,0R,R0201,152.25mm,-105.1mm,-90.0,top
R47,0R,R0201,136.71mm,-105.26mm,-90.0,top
R48,0R,R0201,139.7mm,-99.3mm,0.0,top
U1,nRF5340-CLAA,WLCSP94-0.35-4.39X3.994X0.447MM,146.625mm,-112.775mm,-90.0,top
U2,nRF7002,nRF7002_WLCSP_R2,146.275mm,-103.675mm,-90.0,top
U3,LFD182G45DCHD277,CAF-50P160X80-6N,149.271824mm,-106.438192mm,0.0,top
U4,TXS0104EYZTR,DSBGA12_0d5_1_89x1_39x0_625mm,139.200716mm,-104.823848mm,180.0,top
U6,TPS22916CYFPR,WLCSP4-0.4-0.77X0.77X0.33MM,139.6mm,-102.25mm,180.0,top
U8,SGM2036S-1.8XXDH4G/TR,X2SON4-0.625-1x1x0.6mm,140.491776mm,-108.310368mm,0.0,top
U10,FM8625H,DFN6-0.4-1.1X0.7X0.45MM,147.65mm,-106.625mm,0.0,top
U11,TPS22916CYFPR,WLCSP4-0.4-0.77X0.77X0.33MM,149.575mm,-103.25mm,90.0,top
U13,TPS628438YKAR,BGA6-0.35-0.85X1.2X0.4MM,140.669984mm,-111.016196mm,90.0,top
U15,BQ25101YFPT,DSBGA6-0.4-1.6x0.9x0.5mm,142.933928mm,-109.857032mm,-90.0,top
U16,SGM2036S-3.3XXDH4G/TR,X2SON4-0.625-1x1x0.6mm,141.29325mm,-100.45375mm,-90.0,top
X1,32.768KHz,X2-SMD-1.6X1.0MM,148.761704mm,-115.903248mm,180.0,top
X2,32MHz-8pF-10ppm-70R,X4-SMD-1.6X1.2MM,149.355444mm,-109.630152mm,0.0,top
X3,40MHz,X4-SMD-1.6X1.2MM,142.401544mm,-103.319072mm,-90.0,top
