ID,SKU,Description,Manufacturer,MPN,Designator,Qty,Board,Category,Populate
72,203001260,Omi2-Machanical Parts,,,,1,mechanical,mechanical,n/a
73,323050581,"Omi2-Front Cover;aluminium,D25.5*H5.5mm (custom)",,,,1,mechanical,mechanical,n/a
74,322991494,Dust filter;5.8*4.0*0.1mm,,,,2,mechanical,mechanical,n/a
75,327160930,double-sided tape;D4*d1.5*H0.1mm,,,,2,mechanical,mechanical,n/a
76,326020842,Screw;Phillips flat-head screws;CM1.2*5,,,,3,mechanical,mechanical,n/a
77,323020666,N52 magnet;D3*H3mm,,,,4,mechanical,mechanical,n/a
78,322081192,"Omi2-light pipe;PC,D6*H1.9mm (custom)",,,,1,mechanical,mechanical,n/a
79,401040192,S300 glue;20g/pcs,,,,1,mechanical,mechanical,n/a
80,327160931,double-sided tape;14*12.5*0.1mm,,,,1,mechanical,mechanical,n/a
81,323050582,"Omi2-Back Cover;aluminium,D25.5*H5.5mm (custom)",,,,1,mechanical,mechanical,n/a
82,322081191,"Omi2-Middle Frame;PC+ABS,D23.2*H6.35mm (custom)",,,,1,mechanical,mechanical,n/a
83,401040231,UV glue-DDY6203_6,,,,1,mechanical,mechanical,n/a
84,313020340,Lithium polymer Battery 3.7V- 150mAh;线长6mm-D16*H6.1mm-32AWG (custom),GERUIPU,GRP1654M1-1C-1S1P-3.7V-150mAh,,1,mechanical,mechanical,n/a
85,316040251,Vibration Motor 3V-85mA-10000rpm;D5.0*H2.5mm (custom),LIDEWEI,LBM0525A4123F,,1,mechanical,mechanical,n/a
86,328060165,"Omi Necklace Rope;2.5mm,L650mm (custom)",,,,1,mechanical,mechanical,n/a
87,322101050,"Omi2-Protection Cover;,28.7*35.5*11mm (custom, molded) ",,,,1,mechanical,mechanical,n/a
