ID,SKU,Description,Manufacturer,MPN,Designator,Qty
0,102991914,Oni,,,,
1,202004235,PCBA;Oni2 Main Board,,,,1
2,319016327, ,,,,1
3,303011668,SMD Inductor 2.2nH-0.1nH-500mA;0201,Chilisin,CHQ0603T-2N2B-HU,"L3,L4",2
4,306011365,SMD Crystal 40MHz-10pF-10ppm-80R;4P-L1.6*W1.2mm,CJ,CJ17-400001010B20,X3,1
5,310091764,SMD IC SD Nand Flash;LGA8_8*6*0.85mm,CS,CSNP4GCR01-DPW,U7,1
6,304020922,SMD DIODE SCHOTTKY 40V-250mA;SOD523,Diodes,SDM20U40-7,"D1,D3,D4",3
7,306011503,SMD Crystal 32MHz-8pF-10ppm-70R;4P-L1.6*W1.2*H0.35mm,Faith Long,1S32000049,X2,1
8,302012960,SMD CAP Ceramic 2.2uF-6.3V-20%-X5R;0201,FH,0201X225M6R3NT,"C18,C23,C25,C27,C37,C38,C41,C42,C44",9
9,310033132,SMD IC PMIC;Battery Protection IC Lithium Ion/Polymer;4-WLCSP (0.97x0.97),GLF,GLF73910-BD01,U14,1
10,305031523,SMD MOSFET P-CH 20V-660mA;SOT-523,JCET,CJE3139K,Q7,1
11,306011045,SMD Crystal 32.768KHz-12.5pF-20ppm-70KR;2P-1.6*1.0*0.5mm,KDS,DST1610A,X1,1
12,305031600,SMD MOSFET N-CH 30V-1.5A;SOT-883,LRC,LN237N3T5G,Q2,1
13,314110114,SMD RES Thermistor NTC 10K-1%;0402,Murata,NCP15XH103F03RC,R28,1
14,303011995,SMD Inductor 3.3uH-20%-700mA-DCR350mR;0603,MuRata,LQM18PN3R3MFRL,L5,1
15,303011855,SMD Inductor;1uH-20%-950mA;0603,Murata,LQM18PN1R0MFRL,L6,1
16,310061002,SMD IC Diplexer;1.6*0.8*0.7mm,Murata,LFD182G45DCHD277,U3,1
17,302013247,SMD CAP Ceramic 4.7uF-6.3V-20%-X5R;0201,Murata,GRM035R60J475ME15D,"C17,C28,C31,C32",4
18,302010730,SMD CAP Ceramic 1uF-10V-20%-X5R;0201,Murata,GRM033R61A105ME44D,"C1,C2,C3,C5,C7,C13,C20,C22,C29,C43,C53",11
19,302011841,SMD CAP Ceramic 22nF-16V-10%-X5R;0201,Murata Electronics North America,GRM033R61C223KE84D,C21,1
20,310061001,SMD IC RF WiFi Transceiver;WLCSP_81;3.75*3.385mm,Nordic,nRF7002-CEAA-R7,U2,1
21,310060960,SMD IC RF;WLCSP-95;4.4*4.0mm,Nordic,nRF5340-CLAA,U1,1
22,310091605,SMD IC Memory;16Mbit-SPI-USON-8-2*3mm,Puya,P25Q16SH-UXH-IR,U12,1
23,310032919,SMD IC PMIC;Low Noise LDO-3.3V-300mA;XTDFN-1*1-4L,SGMICRO,SGM2036S-3.3XXDH4G/TR,U16,1
24,310032813,SMD IC PMIC;LDO-1.8V-300mA;XTDFN-1*1-4L,SGMICRO,SGM2036S-1.8XXDH4G/TR,U8,1
25,310051410,SMD IC Logic;Single 2-Input NAND Gate-SC70-5,SGMICRO,74LVC1G00XC5G/TR,U9,1
26,314040211,SMD 6 Axis  Acceleration Sensor;LGA-14L,ST,LSM6DS3TR-C,U5,1
27,303011999,SMD Inductor 10uH-20%-280mA;0603,Sunlord,MWSD1608FE100KT,"L1,L2",2
28,320210762,SMD BTB Female CONN;6+4P-0.25;L3.16*W1.5*H0.6mm,Suntech,ST-BTB-K3570606F,J1,1
